objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,233.8828449,21.7728245,19.03564,17.15681,16.2971,15.88502,15.54647,2.4388E+18,GALAXY,0.04087785
1.23766E+18,226.601304,11.81303833,19.11712,17.15107,16.18361,15.72667,15.38289,1.9344E+18,GALAXY,0.07782488
1.23766E+18,131.6145377,43.38587672,19.59531,18.41539,17.80881,17.4353,17.21646,1.00895E+18,GALAXY,0.1363398
1.23767E+18,109.4621035,39.74310481,18.74519,17.31736,16.44554,15.9429,15.60671,4.11529E+18,GALAXY,0.0707008
1.23766E+18,181.393699,55.72075788,18.90111,17.11204,16.21438,15.84698,15.52058,1.14629E+18,GALAXY,0.09900264
1.23767E+18,134.713515,17.2352123,18.09234,16.63706,15.94646,15.52739,15.23507,2.7383E+18,GALAXY,0.05317885
1.23767E+18,159.2177377,16.39067552,18.7772,17.06728,16.22025,15.7978,15.49159,2.92071E+18,GALAXY,0.05935512
1.23767E+18,180.56462,29.95340222,18.83105,17.78868,17.48792,17.21099,17.1846,2.50859E+18,GALAXY,0.07521567
1.23767E+18,165.806054,-0.336897465,18.85559,17.12683,16.24439,15.79863,15.41886,3.11916E+17,GALAXY,0.1016334
1.23767E+18,127.6404055,11.68306222,19.4108,18.23565,17.572,17.1736,16.95822,2.72932E+18,GALAXY,0.1164975
1.23766E+18,247.6200201,39.62606534,16.35851,14.58791,13.75643,13.29531,12.93678,1.31972E+18,GALAXY,0.03036039
1.23765E+18,132.4862539,55.15581608,19.16015,18.02257,17.68317,17.50254,17.42157,5.04473E+17,GALAXY,0.03200196
1.23766E+18,167.6574823,35.42645638,18.94421,17.52792,16.91911,16.59325,16.37422,2.29023E+18,GALAXY,0.07508322
1.23767E+18,167.6493001,16.04515567,16.96936,15.71902,15.2484,14.9925,14.773,6.03729E+18,GALAXY,0.03229797
1.23766E+18,118.7772349,51.08936363,19.24435,17.57874,16.76465,16.31539,16.03457,2.10434E+18,GALAXY,0.07102394
1.23765E+18,156.4027607,0.809949085,19.42652,18.11687,17.25933,16.8205,16.52178,3.06392E+17,GALAXY,0.1485441
