objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23767E+18,126.2533856,65.56086719,19.38006,18.2665,17.77509,17.58995,17.52424,3.69973E+18,STAR,-0.000209946
1.23765E+18,114.0379141,39.62910855,17.98221,17.1031,16.7644,16.6343,16.58684,4.11769E+18,STAR,-0.000299974
1.23767E+18,312.5968881,16.65889689,18.16375,16.43471,15.81221,15.60901,15.50885,2.53343E+18,STAR,4.31E-05
1.23767E+18,331.1356174,22.30077676,18.75361,17.7112,17.29704,17.13023,17.05297,8.52892E+18,STAR,-0.000240935
1.23766E+18,243.170554,4.976619387,19.43714,18.38496,18.00847,17.87063,17.80616,3.71329E+18,STAR,-0.000540207
1.23766E+18,25.96131849,-0.41800452,19.17851,17.82882,17.23991,17.00584,16.88321,2.14601E+18,STAR,-0.000533683
1.23766E+18,210.3060726,6.893495018,18.29397,16.04758,15.08933,14.73598,14.54187,2.05374E+18,STAR,-6.65E-05
1.23767E+18,123.1484502,-6.405526098,17.4253,16.2774,15.92021,15.77236,15.71547,3.15943E+18,STAR,0.000210615
1.23767E+18,125.5580208,12.24373578,19.04532,18.72206,18.40669,17.60457,17.01973,2.72697E+18,STAR,0.000136766
1.23767E+18,182.116595,8.500644224,17.94025,16.98948,16.70932,16.60229,16.56734,6.07212E+18,STAR,-0.000386204
1.23765E+18,171.0822895,61.00555806,19.47313,18.26959,17.84933,17.72367,17.71006,3.74702E+18,STAR,-0.000250327
1.23766E+18,193.2579707,59.74823333,19.34697,17.93144,17.35638,17.16356,17.08857,2.754E+18,STAR,-0.000248281
1.23768E+18,342.5530292,22.96354831,19.42902,16.97512,15.9288,15.51566,15.2992,2.53553E+18,STAR,-3.83E-05
1.23766E+18,357.3781387,43.94106119,17.69821,16.52635,16.09783,15.93097,15.88549,2.12249E+18,STAR,-0.000262616
1.23767E+18,182.0291109,31.14609806,18.24835,17.2966,17.22306,17.25504,17.2707,3.58165E+18,STAR,0.000215824
1.23767E+18,115.512683,41.70398673,18.23899,16.83456,16.28948,16.08714,15.97792,4.12776E+18,STAR,0.00014548
1.23766E+18,348.7406422,0.97064786,17.42512,16.27294,15.86544,15.72504,15.65753,7.64601E+17,STAR,7.58E-05
1.23766E+18,228.7626313,50.78315656,19.40623,17.717,17.01205,16.67086,16.49798,3.71214E+18,STAR,-0.000248566
1.23767E+18,196.8572586,20.75493327,19.51703,18.65285,18.28481,18.1332,18.0586,3.64241E+18,STAR,-0.000200882
1.23767E+18,217.8647791,19.07727886,18.29012,17.36884,17.08186,16.98729,16.96277,6.63943E+18,STAR,-0.000440315
1.23766E+18,197.9237598,59.77461137,17.9843,16.40304,15.7366,15.45952,15.33638,3.64467E+18,STAR,-0.000853529
1.23766E+18,341.5425228,-0.016714625,17.94102,16.95864,16.64293,16.52652,16.45474,1.03023E+19,STAR,-0.000176482
1.23766E+18,356.7391801,-0.76243243,19.33381,18.37357,18.05546,17.92891,17.90166,2.14259E+18,STAR,-0.000701834
1.23767E+18,113.1121828,41.76002001,17.81848,16.70806,16.40321,16.30258,16.25509,3.0209E+18,STAR,0.00012043
1.23768E+18,26.42392434,-3.966444785,17.794,16.878,16.63193,16.52695,16.51087,8.88694E+18,STAR,0.000107128
1.23766E+18,110.8508047,36.63769432,18.94235,17.10946,16.24539,15.89724,15.72456,3.31697E+18,STAR,-0.000336375
1.23766E+18,159.3573059,49.42823903,16.80191,17.14277,17.59768,17.89958,18.12596,7.49422E+18,STAR,-0.000710796
1.23765E+18,185.7862158,0.521268982,17.9128,16.92094,16.60728,16.46859,16.44422,2.88018E+18,STAR,0.000331087
1.23765E+18,355.7618073,-9.606761994,17.87712,16.36706,15.86462,15.67307,15.60869,2.60205E+18,STAR,-0.00012466
1.23768E+18,334.6706126,27.63022799,19.51195,18.53638,18.13326,17.99453,17.92907,6.70602E+18,STAR,4.30E-07
1.23767E+18,210.9054156,-9.955556268,19.05763,17.01512,16.27164,16.00703,15.88638,3.05796E+18,STAR,7.47E-05
1.23767E+18,276.1230216,20.75809316,18.86674,17.27069,16.6299,16.41512,16.27472,2.85311E+18,STAR,6.75E-05
1.23768E+18,31.16327636,22.12351223,19.18219,18.74996,18.90036,19.07025,19.27828,8.59742E+18,STAR,-0.000136285
1.23765E+18,241.524214,53.71196451,18.34937,17.36178,17.05292,16.9359,16.91302,9.08175E+18,STAR,-1.43E-05
1.23768E+18,18.5941656,31.0607979,18.9292,17.45631,16.89099,16.6938,16.61987,2.29805E+18,STAR,-0.00031075
1.23767E+18,260.2017306,36.25551545,19.24023,18.09154,17.57446,17.3603,17.25669,3.70655E+18,STAR,-0.000750036
1.23765E+18,196.696572,2.18753674,14.62934,13.2438,12.57758,15.18178,12.65629,5.9E+17,STAR,-0.000147483
1.23766E+18,180.9325603,52.31011709,18.5846,17.58499,17.24743,17.14494,17.11254,9.2539E+18,STAR,-0.00082395
1.23767E+18,111.1595836,31.12472534,17.8588,17.42579,17.54879,17.6945,17.89508,3.01408E+18,STAR,-3.16E-05
1.23767E+18,162.8123042,32.1861376,18.33932,17.39587,17.10162,16.97349,16.93072,2.28112E+18,STAR,9.60E-05
1.23768E+18,33.04291736,31.51008426,19.10274,18.1174,17.73451,17.65485,17.63424,8.71241E+18,STAR,-0.000154436
1.23765E+18,162.8454008,64.06169772,17.26139,16.03806,15.82622,15.75246,15.73532,3.24497E+18,STAR,-0.000805571
