objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,193.8320645,1.736733768,16.02006,15.96625,16.02015,16.23057,15.5511,5.88905E+17,QSO,0.3428728
1.23766E+18,154.2203832,52.58617024,19.32095,18.83812,18.58058,18.3849,18.20188,1.01785E+18,QSO,0.4389633
1.23767E+18,176.9540566,33.2683128,19.05003,18.8409,18.81519,18.63043,18.63719,2.36104E+18,QSO,0.5803089
1.23766E+18,246.3760848,36.51783303,19.48117,19.41363,19.42007,19.21251,19.232,1.20821E+19,QSO,1.822481
1.23765E+18,142.8898184,62.36931947,18.88729,18.7556,18.565,18.49424,18.53914,2.01199E+18,QSO,1.18787
1.23766E+18,158.8253518,38.55642097,19.58625,19.42496,19.36716,19.09592,19.09085,1.61236E+18,QSO,1.711648
1.23766E+18,234.3792411,33.97686971,17.76023,17.57703,17.4247,17.50362,17.57767,5.597E+18,QSO,1.023441
1.23767E+18,48.15651642,0.753156148,19.55283,19.46614,19.36778,19.04407,18.92612,4.64028E+17,QSO,1.826179
1.23766E+18,129.7280185,56.20192552,19.13371,18.79778,18.70503,18.81734,18.64139,2.00765E+18,QSO,0.8310278
1.23766E+18,184.5946817,38.84539577,17.76455,17.56703,17.11758,16.72212,16.69881,9.94632E+18,QSO,0.1938107
1.23766E+18,214.1929061,42.08581126,18.77004,18.75883,18.61492,18.63524,18.47182,9.57485E+18,QSO,0.9751868
1.23766E+18,197.2872697,54.60335318,19.05976,18.96781,18.74657,18.87935,18.91596,1.17104E+18,QSO,1.012987
1.23767E+18,124.4883283,10.2003887,17.92773,17.637,17.49436,17.50394,17.50443,2.72814E+18,QSO,1.187525
1.23766E+18,176.2815433,48.18109796,19.44067,19.18371,18.92063,18.70566,18.74818,1.62595E+18,QSO,1.580425
1.23766E+18,164.3517927,44.77417436,19.57252,19.3162,18.85374,18.47021,18.2811,1.61687E+18,QSO,0.238751
1.23766E+18,69.2966658,25.69264238,19.37945,17.2693,16.04132,15.40176,14.99439,1.41427E+18,QSO,0.9600357
1.23765E+18,359.2671404,-10.57227593,18.54655,18.45333,18.40444,18.10945,17.99425,7.31908E+17,QSO,1.801208
1.23767E+18,234.095483,21.86727283,19.11012,18.59958,18.56378,18.38064,18.3216,2.43436E+18,QSO,0.5408923
1.23766E+18,139.1637762,26.73264606,19.36332,18.82053,18.5585,18.1927,18.21672,1.08111E+19,QSO,0.5685614
1.23767E+18,175.2778608,-2.396246474,19.16664,18.948,18.65541,18.58099,18.53533,3.69415E+17,QSO,1.216203
1.23767E+18,149.6987453,15.24021676,19.34707,18.95552,18.84768,18.81498,18.65874,1.07953E+19,QSO,2.193706
1.23767E+18,133.7920844,17.94965332,19.18705,19.05958,19.03663,18.97745,18.78887,1.07603E+19,QSO,2.133552
1.23767E+18,191.0242545,29.30086668,18.62731,18.36051,18.29368,18.14311,18.23481,2.51866E+18,QSO,1.655091
1.23765E+18,146.1729459,2.096080433,19.16376,18.80066,18.4753,18.40534,18.39137,5.37226E+17,QSO,1.105121
1.23767E+18,124.1131076,14.0814943,18.38746,18.18782,18.27121,18.38364,18.58012,5.07126E+18,QSO,4.983871
